name;tag;dob;pob;lat;lon;dep_num;dep_name;region;url
Marc Fumaroli;scholar;1932.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Marc_Fumaroli
Paul Mattei;scholar;1953.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Paul_Mattei
Philippe Mongin;scholar;1950.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Philippe_Mongin
Louis Favoreu;scholar;1936.0;Lucq-de-Béarn;43.292186;-0.637884;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Louis_Favoreu
Robert Ferras;scholar;1935.0;Capestang;43.319273;3.071682;34;Hérault;Occitanie;https://fr.wikipedia.org/wiki/Robert_Ferras
Pierre Bourdieu;scholar;1930.0;Denguin;43.366099;-0.506644;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Pierre_Bourdieu
André Miquel;scholar;1929.0;Mèze;43.435562;3.584267;34;Hérault;Occitanie;https://fr.wikipedia.org/wiki/Andr%C3%A9_Miquel
Michel Christol;scholar;1942.0;Castelnau-de-Guers;43.437431;3.438623;34;Hérault;Occitanie;https://fr.wikipedia.org/wiki/Michel_Christol
Jacques Garello;scholar;1934.0;Puget-sur-Argens;43.470449;6.685531;83;Var;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jacques_Garello
Jean-Éric Branaa;scholar;1963.0;Orthez;43.493121;-0.773351;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Jean-%C3%89ric_Branaa
Alfred Jauffret;scholar;1900.0;Aix-en-Provence;43.541369;5.406124;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Alfred_Jauffret
Paul Veyne;scholar;1930.0;Aix-en-Provence;43.541369;5.406124;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Paul_Veyne
Henri Bourguinat;scholar;1933.0;Tadousse-Ussau;43.544547;-0.192004;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Henri_Bourguinat
Paul-Albert Février;scholar;1931.0;Cannes;43.555468;7.004585;6;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Paul-Albert_F%C3%A9vrier
Boško Bojović;scholar;1948.0;Belgrade;43.570462;1.409628;31;Haute-Garonne;Occitanie;https://fr.wikipedia.org/wiki/Bo%C5%A1ko_Bojovi%C4%87
Adhémar Esmein;scholar;1913.0;Charente;43.583418;1.408267;31;Haute-Garonne;Occitanie;https://fr.wikipedia.org/wiki/Adh%C3%A9mar_Esmein
Jean Deschamps (professeur);scholar;1925.0;Charente;43.583418;1.408267;31;Haute-Garonne;Occitanie;https://fr.wikipedia.org/wiki/Jean_Deschamps_(professeur)
