dept_num;pob;cadres;activity_rate;tertiaire
2118;Braye;0;84.4;100
2119;Brécy;4;81.1;68.2
2120;Brenelle;0;74.6;88.6
2121;Breny;5.1;72.9;82.5
2122;Brie;0;66.7;43.8
2123;Brissay-Choigny;3.9;79.7;44.4
2124;Brissy-Hamégicourt;1.9;77.8;96.7
2125;Brumetz;0;78;76.9
2126;Brunehamel;0;72.2;57.7
2127;Bruyères-sur-Fère;0;75.4;78.3
2128;Bruyères-et-Montbérault;6.7;77.6;68.1
2129;Bruys;0;72.7;58.8
2130;Bucilly;6.9;80;78.9
2131;Bucy-le-Long;3.7;78.3;46.3
2132;Bucy-lès-Cerny;13.1;75.7;100
2133;Bucy-lès-Pierrepont;6;75.4;63.2
2134;Buire;0;74.7;72.5
2135;Buironfosse;0;75;88.7
2136;Burelles;9;75.9;38.1
2137;Bussiares;0;77.2;100
2138;Buzancy;14.1;76;65.5
2139;Caillouël-Crépigny;5.8;77.8;33.3
2140;Camelin;2.9;69.8;38.2
2141;La Capelle;4.1;68.5;72.8
2142;Castres;5.2;80.8;54.1
2143;Le Catelet;6.5;74.8;100
2144;Caulaincourt;8.3;74.5;0
2145;Caumont;4.3;75;62.9
2146;Celles-lès-Condé;0;91.1;0
2148;Celles-sur-Aisne;10.4;78.9;45
2149;Cerizy;0;70.3;0
2150;Cerny-en-Laonnois;0;76.3;100
2151;Cerny-lès-Bucy;12.5;81.6;N/A - division par 0
2152;Cerseuil;0;87.8;25.6
2153;Cessières-Suzy;4.6;80.4;59
2154;Chacrise;11.7;81.2;72.7
2155;Chaillevois;6.1;73.7;100
2156;Chalandry;0;70.7;31.2
2157;Chambry;2.9;76;80.5
2158;Chamouille;4.7;83.7;97.3
2159;Champs;0;74.1;19.2
2160;Chaourse;0;73.1;49.3
2162;La Chapelle-sur-Chézy;0;72.6;100
2163;Charly-sur-Marne;4.1;77.5;66.1
2164;Le Charmel;0;77.5;0
2165;Charmes;2.3;74.2;49.3
2166;Chartèves;3.4;77.6;90.9
2167;Chassemy;1.4;77.7;56
2168;Château-Thierry;4.9;71.2;80
2169;Châtillon-lès-Sons;0;70.6;0
2170;Châtillon-sur-Oise;8.7;75;0
2171;Chaudardes;0;83.9;0
2172;Chaudun;0;84.3;40
2173;Chauny;3.2;69.4;78.3
2174;Chavignon;5.8;74.7;42.2
2175;Chavigny;7.3;75.2;0
2176;Chavonne;0;72.3;100
2177;Chérêt;0;67.9;45.5
