name;tag;dob;pob
Marie Mayer;executive;1777;Francfort-sur-le-Main
Marie Tschudin;executive;1934;Neuchâtel
Marie-ange Debon;executive;1965;Boulogne-Billancourt
Marie-christine Roquette;executive;1956;Maubeuge
Marie-josee Kravis;executive;1949;Ottawa
Marie-josee Kravis;executive;1949;Ottawa
Marie-laure Hannezo;executive;1961;Boulogne-Billancourt
Marion Guillou;executive;1954;Marseille
Martin Bouygues;executive;1952;Suresnes
Martin Bouygues;executive;1952;Suresnes
Martin Vial;executive;1954;Lyon
Martin Vial;executive;1954;Lyon
Martin Vial;executive;1954;Lyon
Mary Harris;executive;1837;Cork au XIXe siècle
Mathilde Godard;executive;1951;Dun-sur-Auron
Matthieu Dumas;executive;1753;Montpellier
Maud Fontenoy;executive;1977;Meaux
Maureen Cavanagh;executive;1963;Ottawa
Maureen Cavanagh;executive;1963;Ottawa
Maureen Chiquet;executive;1963;Saint-Louis (Missouri)
Maurice Levy;executive;1942;Oujda
Maxime Saada;executive;1970;Paris
Maxime Saada;executive;1970;Paris
May Gicquel;executive;1977;Tunis
Michel Cicurel;executive;1947;Cannes
Michel Landel;executive;1951;Meknès
Michele Reiser;executive;1941;Réhon en Meurthe-et-M
Michelin Compagnie-Generale-Des-Etablissements;executive;1853;Paris 3
Michelle Baron;executive;1653;Paris
Miriem Bensalah-Chaqroun;executive;1962;Casablanca
Monica Mondardini;executive;1960;Cesena
Monique Cohen;executive;1944;Toulouse
Monique Cohen;executive;1944;Toulouse
Monique Cohen;executive;1944;Toulouse
Natacha Valla;executive;1976;Marseille
Natacha Valla;executive;1976;Marseille
Nicolas Bazire;executive;1957;Fort-de-France
Nicolas Bellet-De-Tavernost;executive;1950;Villefranche-sur-Saône
Nicolas Hieronimus;executive;1964;Paris
Nicolas Meyers;executive;1953;Neuilly-sur-Seine
Nicolas Namias;executive;1976;Paris
Nicolas Sarkozy-De-Nagy-Bocsa;executive;1955;Paris 17
Odile Basso;executive;1965;Saint-Étienne
Olivier Bouygues;executive;1950;Suresnes
Olivier Bouygues;executive;1950;Suresnes
Olivier Chantal;executive;1948;Roubaix
Olivier Dassault;executive;1951;Boulogne-Billancourt
Olivier Roussat;executive;1964;Moulins (Allier)
Olivier Roussat;executive;1964;Moulins (Allier)
Olivier Roussat;executive;1964;Moulins (Allier)
Paolo Scaroni;executive;1946;Vicence
Pascal Cagni;executive;1961;Cernay
Pascale Berger;executive;1989;Berthoud
Pascale Sourisse;executive;1962;Nantes
Pascale Sourisse;executive;1962;Nantes
Pascale Sourisse;executive;1962;Nantes
Patrice Caine;executive;1970;Paris 15
Patrice Caine;executive;1970;Paris 15
Patrice Durand;executive;1952;Boulogne-Billancourt
Patrick Artus;executive;1951;Lille
Patrick Buffet;executive;1953;Lyon
Patrick Kron;executive;1953;Paris
Patrick Thomas;executive;1947;Dijon
Patrick Vieu;executive;1947;Saint-Brieuc
Paul Bulcke;executive;1954;Roulers
Paul Desmarais;executive;1927;Grand Sudbury
Paul Hermelin;executive;1952;Etterbeek
Paul Hermelin;executive;1952;Etterbeek
Peter Brabeck-Letmathe;executive;1944;Villach
Peter Hartman;executive;1935;Aix-la-Chapelle
Peter Ricketts;executive;1952;Royal Sutton Coldfield
Philippe Benacin;executive;1959;Tunis le 15 janvier 1
Philippe Boujut;executive;1940;Jarnac
Philippe Brassac;executive;1959;Nîmes
Philippe Brassac;executive;1959;Nîmes
Philippe Heim;executive;1968;Sarreguemines
