name;tag;dob;pob
Jacques Chirac;ministre;1932;Paris 5
Robert Galley;ministre;1921;Paris 5
Robert Galley;ministre;1921;Paris 5
Jacques Chirac;ministre;1932;Paris 5
Jacques Chirac;ministre;1932;Paris 5
Robert Galley;ministre;1921;Paris 5
Robert Galley;ministre;1921;Paris 5
Robert Galley;ministre;1921;Paris 5
Robert Galley;ministre;1921;Paris 5
Robert Galley;ministre;1921;Paris 5
Robert Galley;ministre;1921;Paris 5
Robert Galley;ministre;1921;Paris 5
Albin Chalandon;ministre;1920;Reyrieux
Albin Chalandon;ministre;1920;Reyrieux
Albin Chalandon;ministre;1920;Reyrieux
Albin Chalandon;ministre;1920;Reyrieux
René Capitant;ministre;1901;La Tronche
Michel Barnier;ministre;1951;La Tronche
Michel Barnier;ministre;1951;La Tronche
Michel Barnier;ministre;1951;La Tronche
Alexandre Portier;ministre;1990;La Tronche
Robert Boulin;ministre;1920;Villandraut
Robert Boulin;ministre;1920;Villandraut
Robert Boulin;ministre;1920;Villandraut
Robert Boulin;ministre;1920;Villandraut
Robert Boulin;ministre;1920;Villandraut
Robert Boulin;ministre;1920;Villandraut
André Bettencourt;ministre;1919;Saint-Maurice-d'Ételan
André Bettencourt;ministre;1919;Saint-Maurice-d'Ételan
André Bettencourt;ministre;1919;Saint-Maurice-d'Ételan
René Pléven;ministre;1901;Rennes
René Pléven;ministre;1901;Rennes
René Pléven;ministre;1901;Rennes
Catherine Lalumière;ministre;1935;Rennes
Catherine Lalumière;ministre;1935;Rennes
Yves Cochet;ministre;1946;Rennes
Bérangère Couillard;ministre;1986;Rennes
Raymond Mondon;ministre;1914;Ancy-sur-Moselle
Michel Cointat;ministre;1921;Paris 10
Robert Poujade;ministre;1928;Moulins
Robert Poujade;ministre;1928;Moulins
Robert Poujade;ministre;1928;Moulins
Jean Charbonnel;ministre;1927;La Fère
Jean Charbonnel;ministre;1927;La Fère
André Bord;ministre;1922;Strasbourg
André Bord;ministre;1922;Strasbourg
Catherine Trautmann;ministre;1951;Strasbourg
François Loos;ministre;1953;Strasbourg
François Loos;ministre;1953;Strasbourg
François Loos;ministre;1953;Strasbourg
François Loos;ministre;1953;Strasbourg
Olivier Becht;ministre;1976;Strasbourg
Michel Jobert;ministre;1921;Meknès
Michel Jobert;ministre;1921;Meknès
Michel Jobert;ministre;1921;Meknès
Michel Jobert;ministre;1921;Meknès
Maurice Druon;ministre;1918;Paris 13
Anicet Le Pors;ministre;1931;Paris 13
Jacques Douffiagues;ministre;1941;Paris 13
Claude Allègre;ministre;1937;Paris 13
Marisol Touraine;ministre;1959;Paris 13
Marisol Touraine;ministre;1959;Paris 13
Marisol Touraine;ministre;1959;Paris 13
Marisol Touraine;ministre;1959;Paris 13
Marisol Touraine;ministre;1959;Paris 13
Joseph Comiti;ministre;1920;Sotta
Jean Royer;ministre;1920;Nevers
Edwige Avice;ministre;1945;Nevers
Edwige Avice;ministre;1945;Nevers
Edwige Avice;ministre;1945;Nevers
Edwige Avice;ministre;1945;Nevers
Roselyne Bachelot-Narquin;ministre;1946;Nevers
Roselyne Bachelot-Narquin;ministre;1946;Nevers
Roseline Bachelot;ministre;1946;Nevers
Roseline Bachelot;ministre;1946;Nevers
Roseline Bachelot;ministre;1946;Nevers
Roseline Bachelot;ministre;1946;Nevers
Roseline Bachelot;ministre;1946;Nevers
Roseline Bachelot;ministre;1946;Nevers
Roselyne Bachelot;ministre;1946;Nevers
Jean-Philippe Lecat;ministre;1935;Dijon
Jean-Philippe Lecat;ministre;1935;Dijon
Jacques Chérèque;ministre;1928;Dijon
François Sauvadet;ministre;1953;Dijon
François Rebsamen;ministre;1951;Dijon
François Rebsamen;ministre;1951;Dijon
François Rebsamen;ministre;1951;Dijon
Jean-Pierre Fourcade;ministre;1929;Marmande
Jean-Pierre Fourcade;ministre;1929;Marmande
Jean-Pierre Fourcade;ministre;1929;Marmande
Jean-Pierre Fourcade;ministre;1929;Marmande
Jean-Pierre Fourcade;ministre;1929;Marmande
Jean Sauvagnargues;ministre;1915;Paris 14
Jean Sauvagnargues;ministre;1915;Paris 14
Jean Sauvagnargues;ministre;1915;Paris 14
Jacques Delors;ministre;1925;Paris 14
Jacques Delors;ministre;1925;Paris 14
Jacques Delors;ministre;1925;Paris 14
Thierry Breton;ministre;1955;Paris 14
Thierry Breton;ministre;1955;Paris 14
Emmanuelle Cosse;ministre;1974;Paris 14
Emmanuelle Cosse;ministre;1974;Paris 14
Amélie Oudéa-Castéra;ministre;1978;Paris 14
Clara Chappaz;ministre;1989;Paris 14
René Haby;ministre;1919;Dombasle-sur-Meurthe
René Haby;ministre;1919;Dombasle-sur-Meurthe
René Haby;ministre;1919;Dombasle-sur-Meurthe
René Haby;ministre;1919;Dombasle-sur-Meurthe
René Haby;ministre;1919;Dombasle-sur-Meurthe
Jean Lecanuet;ministre;1920;Rouen
Jean Lecanuet;ministre;1920;Rouen
Jean Lecanuet;ministre;1920;Rouen
Jean Lecanuet;ministre;1920;Rouen
Jean Lecanuet;ministre;1920;Rouen
Jacques Soufflet;ministre;1912;Lesbœufs
Simone Veil;ministre;1927;Nice
Simone Veil;ministre;1927;Nice
Simone Veil;ministre;1927;Nice
Simone Veil;ministre;1927;Nice
Simone Veil;ministre;1927;Nice
Simone Veil;ministre;1927;Nice
Jacques Toubon;ministre;1941;Nice
Simone Veil;ministre;1927;Nice
Jacques Toubon;ministre;1941;Nice
Pierre-André Périssol;ministre;1947;Nice
Jacques Toubon;ministre;1941;Nice
Christian Estrosi;ministre;1955;Nice
Christian Estrosi;ministre;1955;Nice
Christian Estrosi;ministre;1955;Nice
Sylvie Retailleau;ministre;1965;Nice
Sylvie Retailleau;ministre;1965;Nice
Sylvie Retailleau;ministre;1965;Nice
Vincent Ansquer;ministre;1925;Treize-Septiers
Vincent Ansquer;ministre;1925;Treize-Septiers
Vincent Ansquer;ministre;1925;Treize-Septiers
Vincent Ansquer;ministre;1925;Treize-Septiers
Michel d' Ornano;ministre;1924;Paris 8
Michel d' Ornano;ministre;1924;Paris 8
Michel d' Ornano;ministre;1924;Paris 8
Michel d' Ornano;ministre;1924;Paris 8
Michel d' Ornano;ministre;1924;Paris 8
Michel d' Ornano;ministre;1924;Paris 8
