name,tag,dob,pob,dept_num,dept_ob,region,lat,lon,confidence
Amélie Oudéa Castéra,ministre,Not found,Not found,foreign,foreign,foreign,,,
Agnes Pannier Runacher,ministre,Not found,Not found,foreign,foreign,foreign,,,
Franck Riester,ministre,Not found,Not found,foreign,foreign,foreign,,,
Prisca Thévenot ((Mme),ministre,Not found,Not found,foreign,foreign,foreign,,,
Laurent Saint Martin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Marie Agnes Poussier-Winsback,ministre,Not found,Not found,foreign,foreign,foreign,,,
François Noel Buffet,ministre,Not found,Not found,foreign,foreign,foreign,,,
Charlotte Parmentier Lecoq,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Noel Barrot,ministre,Not found,Not found,foreign,foreign,foreign,,,
Agnes Pannier Runacher,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Louis Thiriot,ministre,Not found,Not found,foreign,foreign,foreign,,,
Valérie Letard,ministre,Not found,Not found,foreign,foreign,foreign,,,
Astrid Panosyan Bouvet,ministre,Not found,Not found,foreign,foreign,foreign,,,
Marie Claire Carrère Gée,ministre,Not found,Not found,foreign,foreign,foreign,,,
Amélie De Montchalin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Véronique Lowagie,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Noel Barrot,ministre,Not found,Not found,foreign,foreign,foreign,,,
Laurent Saint Martin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Gérard Darmanin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Patricia Miralles,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean Noel Buffet,ministre,Not found,Not found,foreign,foreign,foreign,,,
Catherine Vaurin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Astrid Panosian Bouvet,ministre,Not found,Not found,foreign,foreign,foreign,,,
Charlotte Parmentier Lecoq,ministre,Not found,Not found,foreign,foreign,foreign,,,
Valerie Létard,ministre,Not found,Not found,foreign,foreign,foreign,,,
Agnès Pannier Runacher,ministre,Not found,Not found,foreign,foreign,foreign,,,
Aurore Berger,ministre,Not found,Not found,foreign,foreign,foreign,,,
Amélie de Monchalin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Serge Sapin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Noel Barrot,ministre,Not found,Not found,foreign,foreign,foreign,,,
Eléonore Caroit,ministre,Not found,Not found,foreign,foreign,foreign,,,
nan nan,ministre,Not found,Not found,foreign,foreign,foreign,,,
Catherine Lefevre,ministre,Not found,Not found,foreign,foreign,foreign,,,
Louis Joxe,ministre,1901,Bourg-la-Reine,92,Hauts-de-Seine,Île-de-France,48.779888,2.316407,0.949
Louis Joxe,ministre,1901,Bourg-la-Reine,92,Hauts-de-Seine,Île-de-France,48.779888,2.316407,0.949
Louis Joxe,ministre,1901,Bourg-la-Reine,92,Hauts-de-Seine,Île-de-France,48.779888,2.316407,0.949
Louis Joxe,ministre,1901,Bourg-la-Reine,92,Hauts-de-Seine,Île-de-France,48.779888,2.316407,0.949
Louis Joxe,ministre,1901,Bourg-la-Reine,92,Hauts-de-Seine,Île-de-France,48.779888,2.316407,0.949
Louis Joxe,ministre,1901,Bourg-la-Reine,92,Hauts-de-Seine,Île-de-France,48.779888,2.316407,0.949
Louis Joxe,ministre,1901,Bourg-la-Reine,92,Hauts-de-Seine,Île-de-France,48.779888,2.316407,0.949
Louis Joxe,ministre,1901,Bourg-la-Reine,92,Hauts-de-Seine,Île-de-France,48.779888,2.316407,0.949
Louis Jacquinot,ministre,1898,Gondrecourt-le-Château,55,Meuse,Grand Est,48.490259,5.445439,0.936
Louis Jacquinot,ministre,1898,Gondrecourt-le-Château,55,Meuse,Grand Est,48.490259,5.445439,0.936
Louis Jacquinot,ministre,1898,Gondrecourt-le-Château,55,Meuse,Grand Est,48.490259,5.445439,0.936
Louis Jacquinot,ministre,1898,Gondrecourt-le-Château,55,Meuse,Grand Est,48.490259,5.445439,0.936
Louis Jacquinot,ministre,1898,Gondrecourt-le-Château,55,Meuse,Grand Est,48.490259,5.445439,0.936
Louis Jacquinot,ministre,1898,Gondrecourt-le-Château,55,Meuse,Grand Est,48.490259,5.445439,0.936
André Malraux,ministre,1901,Paris 18,75,Paris,Île-de-France,48.8870221,2.3478318,0.701
André Malraux,ministre,1901,Paris 18,75,Paris,Île-de-France,48.8870221,2.3478318,0.701
André Malraux,ministre,1901,Paris 18,75,Paris,Île-de-France,48.8870221,2.3478318,0.701
André Malraux,ministre,1901,Paris 18,75,Paris,Île-de-France,48.8870221,2.3478318,0.701
André Malraux,ministre,1901,Paris 18,75,Paris,Île-de-France,48.8870221,2.3478318,0.701
André Malraux,ministre,1901,Paris 18,75,Paris,Île-de-France,48.8870221,2.3478318,0.701
André Malraux,ministre,1901,Paris 18,75,Paris,Île-de-France,48.8870221,2.3478318,0.701
André Malraux,ministre,1901,Paris 18,75,Paris,Île-de-France,48.8870221,2.3478318,0.701
Nelly Olin,ministre,1941,Paris 18,75,Paris,Île-de-France,48.8870221,2.3478318,0.701
Nelly Olin,ministre,1941,Paris 18,75,Paris,Île-de-France,48.8870221,2.3478318,0.701
Edmond Michelet,ministre,1899,Paris 19,75,Paris,Île-de-France,48.88661575317383,2.384809970855713,0.7
Edmond Michelet,ministre,1899,Paris 19,75,Paris,Île-de-France,48.88661575317383,2.384809970855713,0.7
Edmond Michelet,ministre,1899,Paris 19,75,Paris,Île-de-France,48.88661575317383,2.384809970855713,0.7
André Fosset,ministre,1918,Paris 19,75,Paris,Île-de-France,48.88661575317383,2.384809970855713,0.7
Eric Raoult,ministre,1955,Paris 19,75,Paris,Île-de-France,48.88661575317383,2.384809970855713,0.7
Jean Berthoin,ministre,1895,Enghien-les-Bains,95,Val-d'Oise,Île-de-France,48.971047,2.305251,0.947
Pierre Guillaumat,ministre,1909,La Flèche,11,Aude,Occitanie,43.194836,2.319712,0.956
Pierre Guillaumat,ministre,1909,La Flèche,11,Aude,Occitanie,43.194836,2.319712,0.956
Pierre Guillaumat,ministre,1909,La Flèche,11,Aude,Occitanie,43.194836,2.319712,0.956
Roger Houdet,ministre,1899,Angers,49,Maine-et-Loire,Pays de la Loire,47.467471,-0.561615,0.958
Jean Poperen,ministre,1925,Angers,49,Maine-et-Loire,Pays de la Loire,47.467471,-0.561615,0.958
Jean Poperen,ministre,1925,Angers,49,Maine-et-Loire,Pays de la Loire,47.467471,-0.561615,0.958
Jean Poperen,ministre,1925,Angers,49,Maine-et-Loire,Pays de la Loire,47.467471,-0.561615,0.958
Christophe Bechu,ministre,1974,Angers,49,Maine-et-Loire,Pays de la Loire,47.467471,-0.561615,0.958
Christophe Bechu,ministre,1974,Angers,49,Maine-et-Loire,Pays de la Loire,47.467471,-0.561615,0.958
Christophe Béchu,ministre,1974,Angers,49,Maine-et-Loire,Pays de la Loire,47.467471,-0.561615,0.958
Christophe Bechu,ministre,1974,Angers,49,Maine-et-Loire,Pays de la Loire,47.467471,-0.561615,0.958
Bernard Chenot,ministre,1909,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Robert Buron,ministre,1910,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Bernard Chenot,ministre,1909,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Robert Buron,ministre,1910,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Bernard Chenot,ministre,1909,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Robert Buron,ministre,1910,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Robert Buron,ministre,1910,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Jacques Duhamel,ministre,1924,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Jacques Duhamel,ministre,1924,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Jacques Duhamel,ministre,1924,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Philippe Richer,ministre,1923,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Philippe Richer,ministre,1923,Paris 6,75,Paris,Île-de-France,48.85261154174805,2.3332111835479736,0.861
Bernard Cornut-Gentille,ministre,1909,Brest,29,Finistère,Bretagne,48.406435,-4.497736,0.958
Pierre Sudreau,ministre,1919,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Pierre Sudreau,ministre,1919,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Pierre Sudreau,ministre,1919,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Pierre Sudreau,ministre,1919,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Gaston Palewski,ministre,1901,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Gaston Palewski,ministre,1901,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Christine Lagarde,ministre,1956,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Christine Lagarde,ministre,1956,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Christine Lagarde,ministre,1956,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Christine Lagarde,ministre,1956,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Christine Lagarde,ministre,1956,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Christine Lagarde,ministre,1956,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Christine Lagarde,ministre,1956,Paris 9,75,Paris,Île-de-France,48.872615814208984,2.340359926223755,0.693
Roger Frey,ministre,1913,Nouméa,988,Nouvelle-Calédonie,,-22.26308,166.445742,0.956
Roger Frey,ministre,1913,Nouméa,988,Nouvelle-Calédonie,,-22.26308,166.445742,0.956
Roger Frey,ministre,1913,Nouméa,988,Nouvelle-Calédonie,,-22.26308,166.445742,0.956
Roger Frey,ministre,1913,Nouméa,988,Nouvelle-Calédonie,,-22.26308,166.445742,0.956
Roger Frey,ministre,1913,Nouméa,988,Nouvelle-Calédonie,,-22.26308,166.445742,0.956
Roger Frey,ministre,1913,Nouméa,988,Nouvelle-Calédonie,,-22.26308,166.445742,0.956
Roger Frey,ministre,1913,Nouméa,988,Nouvelle-Calédonie,,-22.26308,166.445742,0.956
Roger Frey,ministre,1913,Nouméa,988,Nouvelle-Calédonie,,-22.26308,166.445742,0.956
Roger Frey,ministre,1913,Nouméa,988,Nouvelle-Calédonie,,-22.26308,166.445742,0.956
Roger Frey,ministre,1913,Nouméa,988,Nouvelle-Calédonie,,-22.26308,166.445742,0.956
Raymond Triboulet,ministre,1906,Paris 1,75,Paris,Île-de-France,48.863826751708984,2.3342583179473877,0.685
Raymond Triboulet,ministre,1906,Paris 1,75,Paris,Île-de-France,48.863826751708984,2.3342583179473877,0.685
Raymond Triboulet,ministre,1906,Paris 1,75,Paris,Île-de-France,48.863826751708984,2.3342583179473877,0.685
Raymond Triboulet,ministre,1906,Paris 1,75,Paris,Île-de-France,48.863826751708984,2.3342583179473877,0.685
Raymond Triboulet,ministre,1906,Paris 1,75,Paris,Île-de-France,48.863826751708984,2.3342583179473877,0.685
Pierre Joxe,ministre,1934,Paris 1,75,Paris,Île-de-France,48.863826751708984,2.3342583179473877,0.685
Pierre Joxe,ministre,1934,Paris 1,75,Paris,Île-de-France,48.863826751708984,2.3342583179473877,0.685
Pierre Joxe,ministre,1934,Paris 1,75,Paris,Île-de-France,48.863826751708984,2.3342583179473877,0.685
Pierre Joxe,ministre,1934,Paris 1,75,Paris,Île-de-France,48.863826751708984,2.3342583179473877,0.685
Pierre Joxe,ministre,1934,Paris 1,75,Paris,Île-de-France,48.863826751708984,2.3342583179473877,0.685
Félix Houphouët Boigny,ministre,1905,N'Gokro,foreign,foreign,foreign,,,
Félix Houphouët Boigny,ministre,1905,N'Gokro,foreign,foreign,foreign,,,
Félix Houphouët Boigny,ministre,1905,N'Gokro,foreign,foreign,foreign,,,
Robert Lecourt,ministre,1908,Pavilly,76,Seine-Maritime,Normandie,49.577216,0.944585,0.944
Lucien Paye,ministre,1907,Vernoil,49,Maine-et-Loire,Pays de la Loire,47.394273,0.102518,0.846
Lucien Paye,ministre,1907,Vernoil,49,Maine-et-Loire,Pays de la Loire,47.394273,0.102518,0.846
Pierre Messmer,ministre,1916,Vincennes,94,Val-de-Marne,Île-de-France,48.847279,2.437785,0.953
Pierre Messmer,ministre,1916,Vincennes,94,Val-de-Marne,Île-de-France,48.847279,2.437785,0.953
Pierre Messmer,ministre,1916,Vincennes,94,Val-de-Marne,Île-de-France,48.847279,2.437785,0.953
Pierre Messmer,ministre,1916,Vincennes,94,Val-de-Marne,Île-de-France,48.847279,2.437785,0.953
Pierre Messmer,ministre,1916,Vincennes,94,Val-de-Marne,Île-de-France,48.847279,2.437785,0.953
Pierre Messmer,ministre,1916,Vincennes,94,Val-de-Marne,Île-de-France,48.847279,2.437785,0.953
Pierre Messmer,ministre,1916,Vincennes,94,Val-de-Marne,Île-de-France,48.847279,2.437785,0.953
Maurice Bokanowski,ministre,1879,Le Havre,76,Seine-Maritime,Normandie,49.507345,0.129995,0.959
Maurice Bokanowski,ministre,1879,Le Havre,76,Seine-Maritime,Normandie,49.507345,0.129995,0.959
Maurice Bokanowski,ministre,1879,Le Havre,76,Seine-Maritime,Normandie,49.507345,0.129995,0.959
