name;tag;dob;pob;dept_num;dept_ob;region;lat;lon;confidence
Lluis Quintana-Murci;college_de_france;1970;Palma;63;Puy-de-Dôme;Auvergne-Rhône-Alpes;46.024369;3.194664;0.943
Georges Le Rider;college_de_france;1928;Saint-Hernin;29;Finistère;Bretagne;48.211386;-3.611703;0.934
Peter Piot;college_de_france;1949;Keerbergen;29;Finistère;Bretagne;48.583492;-4.303381;0.453
Claudine Tiercelin;college_de_france;1952;Brest;29;Finistère;Bretagne;48.406435;-4.497736;0.958
Edith Heard;college_de_france;1965;Londres;29;Finistère;Bretagne;48.147822;-3.893296;0.943
Igor Mel'čuk;college_de_france;1932;Odessa;93;Seine-Saint-Denis;Île-de-France;48.908181;2.465854;0.701
Peter Westbroek;college_de_france;1937;La Haye;35;Ille-et-Vilaine;Bretagne;48.406511;-1.687716;0.961
Laurence Boisson de Chazournes;college_de_france;1958;Douala;35;Ille-et-Vilaine;Bretagne;48.143227;-1.813778;0.861
Pierre Briant;college_de_france;1940;Angers;49;Maine-et-Loire;Pays de la Loire;47.467471;-0.561615;0.958
Jean-Marie Tarascon;college_de_france;1953;Marmande;49;Maine-et-Loire;Pays de la Loire;47.168475;-0.459141;0.951
Jean-Marie Tarascon;college_de_france;1953;Marmande;49;Maine-et-Loire;Pays de la Loire;47.168475;-0.459141;0.951
Thomas Lecuit;college_de_france;1971;Saumur;49;Maine-et-Loire;Pays de la Loire;47.261814;-0.082764;0.95
Claudio Magris;college_de_france;1939;Trieste;32;Gers;Occitanie;43.929985;0.563676;0.708
Serge Haroche;college_de_france;1944;Casablanca;40;Landes;Nouvelle-Aquitaine;43.663279;-1.288498;0.948
Pierre Rosanvallon;college_de_france;1948;Blois;41;Loir-et-Cher;Centre-Val de Loire;47.581228;1.316533;0.953
Jon Elster;college_de_france;1940;Oslo;71;Saône-et-Loire;Bourgogne-Franche-Comté;46.783677;4.927047;0.846
Thomas Ebbesen;college_de_france;1954;Oslo;71;Saône-et-Loire;Bourgogne-Franche-Comté;46.783677;4.927047;0.846
Mathias Fink;college_de_france;1945;Grenoble;38;Isère;Auvergne-Rhône-Alpes;45.182828;5.724369;0.958
Thierry Coquand;college_de_france;1961;Jallieu;38;Isère;Auvergne-Rhône-Alpes;45.593821;5.275957;0.702
Michel Brunet;college_de_france;1940;Magné;23;Creuse;Nouvelle-Aquitaine;45.883789;1.973288;0.94
Jacques Nichet;college_de_france;1942;Albi;81;Tarn;Occitanie;43.929864;2.149681;0.953
Tony Cragg;college_de_france;1949;Liverpool;16;Charente;Nouvelle-Aquitaine;45.696179;-0.318325;0.694
Jean-Jacques Hublin;college_de_france;1953;Mostaganem;72;Sarthe;Pays de la Loire;48.012277;0.228402;0.7
Jean-Jacques Hublin;college_de_france;1953;Mostaganem;72;Sarthe;Pays de la Loire;48.012277;0.228402;0.7
Alberto Manguel;college_de_france;1948;Buenos Aires;72;Sarthe;Pays de la Loire;48.020606;0.21276;0.701
Alain Wijffels;college_de_france;1954;Chêne-Bougeries près;74;Haute-Savoie;Auvergne-Rhône-Alpes;46.270998;6.26896;0.477
Claire Mathieu;college_de_france;1965;Caen;14;Calvados;Normandie;49.184316;-0.37193;0.957
Rachid Guerraoui;college_de_france;1967;Rabat;972;Martinique;;14.465505;-60.842925;0.855
Lucrezia Reichlin;college_de_france;1954;Rome;8;Ardennes;Grand Est;49.687897;5.019168;0.948
