Date;Sens;Sicovam ou ISIN;Valeur;Sources;Manque & Commentaires
11/07/2003;Admission;12069;Pernod Ricard;Avis SBF N°2003-2057;Préparation du futur remaniement du CAC consistant à calculer les capitalisations uniquement sur le flottant.
01/10/2003;Suspension;7919;Orange;Avis SBF N°2003-3086;Suspension en raison de l'offre publique d'échange de France Télécom.
21/11/2003;Retrait;7919;Orange;Avis SBF N°2003-3549;Retrait en raison de l'offre publique de retrait de France Télécom.
21/11/2003;Admission;LU0140205948;Arcelor;Avis SBF N°2003-3549;Remplace Orange.
01/12/2003;Passage au flottant pour le calcul des capitalisations;;;;
2004;;;;;
19/06/2004;Retrait;FR0000130460;Aventis;Avis SBF N°2004-1786;Retrait temporaire puis définitif suite fusion-acquisition par Sanofi.
01/10/2004;Admission;FR0000130577;Publicis Groupe SA;Avis SBF N°2004-3083;Remplace Aventis.
2005;;;;;
03/01/2005;Retrait;FR0000121220;Sodexho Alliance;Avis SBF N°2004-4147;
03/01/2005;Admission;FR0000121667;Essilor Intl;Avis SBF N°2004-4147;Remplace Sodexho.
01/09/2005;Retrait;FR0000125585;Casino Guichard;Avis Euronext N°2005-3339;
01/09/2005;Admission;FR0010208488;Gaz de France;Avis Euronext N°2005-3339;Remplace Casino.
19/12/2005;Retrait;FR0000054900;TF1;Avis Euronext N°2005-4825;Retrait de TF1 suite à l'introduction d'EDF.
19/12/2005;Admission;FR0010242511;EDF;Avis Euronext N°2005-4825;Remplace TF1.
2006;;;;;
16/06/2006;Suspension;LU0140205948;Arcelor;Avis Euronext N°2006-1964;Retrait provisoire d'Arcelor dans l'attente du résultat de l'OPA de Mittal Steel.
28/07/2006;Retrait;FR0000121329;Thales;Avis Euronext N°2006-2120;Remplacement de Thales par Alstom.
28/07/2006;Admission;FR0010220475;Alstom;Avis Euronext N°2006-2120;Remplacement de Thales par Alstom.
