pob;dept_num;median;gini
Barzy-en-Thiérache;2050;21140;
Barzy-sur-Marne;2051;25580;
Bassoles-Aulers;2052;22970;
Vallées en Champagne;2053;26580;
Bazoches-et-Saint-Thibaut;2054;24020;
Beaumé;2055;;
Beaumont-en-Beine;2056;22300;
Beaurevoir;2057;19030;
Beaurieux;2058;20510;
Beautor;2059;17760;0.233
Beauvois-en-Vermandois;2060;22740;
Becquigny;2061;19290;
Belleau;2062;28100;
Bellenglise;2063;22500;
Belleu;2064;20140;0.238
Bellicourt;2065;21080;
Benay;2066;22250;
Bergues-sur-Sambre;2067;23420;
Berlancourt;2068;;
Berlise;2069;;
Bernot;2070;22110;
Berny-Rivière;2071;23920;
Berrieux;2072;25760;
Berry-au-Bac;2073;21950;
Bertaucourt-Epourdon;2074;21750;
Berthenicourt;2075;22760;
Bertricourt;2076;28980;
Berzy-le-Sec;2077;24940;
Besmé;2078;21360;
Besmont;2079;20070;
Besny-et-Loizy;2080;26260;
Béthancourt-en-Vaux;2081;24090;
Beugneux;2082;22980;
Beuvardes;2083;23490;
Bézu-le-Guéry;2084;25230;
Bézu-Saint-Germain;2085;23830;
Bichancourt;2086;22450;
Bieuxy;2087;;
Bièvres;2088;;
Billy-sur-Aisne;2089;22590;
Billy-sur-Ourcq;2090;22540;
Blanzy-lès-Fismes;2091;23880;
Blérancourt;2093;19760;
Blesmes;2094;25760;
Bohain-en-Vermandois;2095;16190;0.255
Bois-lès-Pargny;2096;23420;
Boncourt;2097;19640;
Bonneil;2098;26710;
Bonnesvalyn;2099;22880;
Bony;2100;19850;
Bosmont-sur-Serre;2101;21500;
Bouconville-Vauclair;2102;23830;
Boué;2103;20360;
Bouffignereux;2104;27530;
Bouresches;2105;23410;
Bourg-et-Comin;2106;20250;
Bourguignon-sous-Coucy;2107;;
Bourguignon-sous-Montbavin;2108;25450;
La Bouteille;2109;20990;
Braine;2110;20580;0.251
Brancourt-en-Laonnois;2111;23310;
Brancourt-le-Grand;2112;22020;
Brasles;2114;22080;
Braye-en-Laonnois;2115;22290;
Braye-en-Thiérache;2116;21300;
Bray-Saint-Christophe;2117;;
Braye;2118;22420;
Brécy;2119;23500;
Brenelle;2120;22100;
Breny;2121;21500;
Brie;2122;;
Brissay-Choigny;2123;22810;
Brissy-Hamégicourt;2124;21140;
Brumetz;2125;23200;
Brunehamel;2126;17550;
Bruyères-sur-Fère;2127;20700;
Bruyères-et-Montbérault;2128;23910;
Bruys;2129;;
Bucilly;2130;19480;
Bucy-le-Long;2131;23900;
Bucy-lès-Cerny;2132;24200;
Bucy-lès-Pierrepont;2133;19120;
Buire;2134;21200;
Buironfosse;2135;19400;
Burelles;2136;23000;
Bussiares;2137;23060;
Buzancy;2138;25330;
Caillouël-Crépigny;2139;23580;
Camelin;2140;20540;
La Capelle;2141;18690;
Castres;2142;26180;
Le Catelet;2143;20010;
Caulaincourt;2144;24290;
Caumont;2145;23920;
Celles-lès-Condé;2146;;
Celles-sur-Aisne;2148;22490;
Cerizy;2149;;
Cerny-en-Laonnois;2150;;
Cerny-lès-Bucy;2151;;
Cerseuil;2152;;
Cessières-Suzy;2153;23530;
Chacrise;2154;22240;
Chaillevois;2155;24300;
Chalandry;2156;20700;
Chambry;2157;22440;
Chamouille;2158;21760;
Champs;2159;20810;
Chaourse;2160;19710;
La Chapelle-sur-Chézy;2162;23470;
Charly-sur-Marne;2163;21500;0.263
Le Charmel;2164;22620;
Charmes;2165;20900;
Chartèves;2166;24770;
Chassemy;2167;23340;
Château-Thierry;2168;19150;0.285
Châtillon-lès-Sons;2169;;
Châtillon-sur-Oise;2170;24780;
Chaudardes;2171;24500;
Chaudun;2172;24190;
Chauny;2173;18580;0.281
Chavignon;2174;22600;
Chavigny;2175;21230;
Chavonne;2176;20760;
Chérêt;2177;23250;
Chermizy-Ailles;2178;22740;
Chéry-Chartreuve;2179;23450;
Chéry-lès-Pouilly;2180;22150;
Chéry-lès-Rozoy;2181;;
Chevennes;2182;20280;
Chevregny;2183;24510;
Chevresis-Monceau;2184;21220;
Chézy-en-Orxois;2185;23140;
Chézy-sur-Marne;2186;24080;
Chierry;2187;24590;
Chigny;2188;20520;
Chivres-en-Laonnois;2189;20150;
Chivres-Val;2190;22790;
Chivy-lès-Étouvelles;2191;22990;
Chouy;2192;22180;
Cierges;2193;;
Cilly;2194;19560;
Ciry-Salsogne;2195;24060;
Clacy-et-Thierret;2196;25390;
Clairfontaine;2197;23510;
Clamecy;2198;23230;
Clastres;2199;21930;
Clermont-les-Fermes;2200;;
Cœuvres-et-Valsery;2201;24510;
Coincy;2203;20580;
Coingt;2204;;
Colligis-Crandelain;2205;22400;
Colonfay;2206;;
Commenchon;2207;23680;
Concevreux;2208;24070;
Condé-en-Brie;2209;22080;
Condé-sur-Aisne;2210;22960;
Condé-sur-Suippe;2211;22530;
Condren;2212;22270;
Connigis;2213;22390;
Contescourt;2214;;
Corbeny;2215;22490;
Corcy;2216;24090;
Coucy-le-Château-Auffrique;2217;22120;
Coucy-lès-Eppes;2218;22440;
Coucy-la-Ville;2219;20440;
Coulonges-Cohan;2220;22040;
Coupru;2221;24820;
Courbes;2222;;
Courboin;2223;21900;
Courcelles-sur-Vesle;2224;21440;
Courchamps;2225;;
Courmelles;2226;22730;
Courmont;2227;22630;
Courtemont-Varennes;2228;21750;
Courtrizy-et-Fussigny;2229;;
Couvrelles;2230;21890;
Couvron-et-Aumencourt;2231;20170;
Coyolles;2232;22930;
Cramaille;2233;22370;
Craonne;2234;;
Craonnelle;2235;20300;
Crécy-au-Mont;2236;20610;
Crécy-sur-Serre;2237;20300;
Crépy;2238;20740;
Crézancy;2239;20650;
Croix-Fonsomme;2240;21140;
La Croix-sur-Ourcq;2241;;
Crouttes-sur-Marne;2242;23730;
Crouy;2243;20820;0.232
Crupilly;2244;;
Cuffies;2245;21430;
Cugny;2246;21670;
Cuirieux;2248;18830;
Cuiry-Housse;2249;23420;
Cuiry-lès-Chaudardes;2250;;
Cuiry-lès-Iviers;2251;;
Cuissy-et-Geny;2252;;
Cuisy-en-Almont;2253;24260;
Cutry;2254;24460;
Cys-la-Commune;2255;20660;
Dagny-Lambercy;2256;20490;
Dallon;2257;27180;
Dammard;2258;22140;
Dampleux;2259;25610;
Danizy;2260;19930;
Dercy;2261;21950;
Deuillet;2262;22500;
Dhuizel;2263;23820;
Dizy-le-Gros;2264;19340;
Dohis;2265;;
Dolignon;2266;;
Dommiers;2267;23120;
Domptin;2268;24440;
Dorengt;2269;21180;
Douchy;2270;21140;
Dravegny;2271;18840;
Droizy;2272;;
Dury;2273;22730;
Ébouleau;2274;20730;
Effry;2275;16390;
Englancourt;2276;22940;
Épagny;2277;21260;
Éparcy;2278;;
Épaux-Bézu;2279;24860;
Épieds;2280;24460;
L'Épine-aux-Bois;2281;24210;
Eppes;2282;21000;
Erlon;2283;19790;
Erloy;2284;;
Esquéhéries;2286;21000;
Essigny-le-Grand;2287;24790;
Essigny-le-Petit;2288;21550;
Essises;2289;24830;
Essômes-sur-Marne;2290;23660;0.237
Estrées;2291;21190;
Étampes-sur-Marne;2292;21900;
Étaves-et-Bocquiaux;2293;21120;
Étouvelles;2294;25310;
Étréaupont;2295;19530;
Étreillers;2296;23170;
Étrépilly;2297;23220;
Étreux;2298;19940;
Évergnicourt;2299;22270;
Faverolles;2302;24050;
Fayet;2303;32330;
La Fère;2304;16210;0.258
Fère-en-Tardenois;2305;19780;0.265
La Ferté-Chevresis;2306;20600;
La Ferté-Milon;2307;22930;
Fesmy-le-Sart;2308;19670;
Festieux;2309;21460;
Fieulaine;2310;23300;
Filain;2311;22350;
La Flamengrie;2312;21260;
Flavigny-le-Grand-et-Beaurain;2313;21670;
Flavy-le-Martel;2315;21150;
Fleury;2316;26560;
Fluquières;2317;26590;
Folembray;2318;20330;
Fonsomme;2319;20590;
Fontaine-lès-Clercs;2320;26300;
Fontaine-lès-Vervins;2321;22120;
Fontaine-Notre-Dame;2322;24950;
Fontaine-Uterte;2323;23020;
Fontenelle;2324;21680;
Fontenoy;2326;23650;
Foreste;2327;18850;
Fossoy;2328;24890;
Fourdrain;2329;24060;
Francilly-Selency;2330;26360;
Franqueville;2331;20060;
Fresnes-en-Tardenois;2332;22610;
Fresnes-sous-Coucy;2333;20060;
Fresnoy-le-Grand;2334;19180;0.271
Fressancourt;2335;22200;
Frières-Faillouël;2336;23400;
Froidestrées;2337;21010;
Froidmont-Cohartille;2338;21240;
Gandelu;2339;23210;
Gauchy;2340;20850;0.216
Gercy;2341;22290;
Gergny;2342;22010;
Germaine;2343;;
Gibercourt;2345;;
Gizy;2346;21480;
Gland;2347;25850;
Goudelancourt-lès-Berrieux;2349;;
Goudelancourt-lès-Pierrepont;2350;20470;
Goussancourt;2351;24670;
Gouy;2352;20460;
Grandlup-et-Fay;2353;21860;
Grandrieux;2354;;
Gricourt;2355;24170;
Grisolles;2356;20880;
Gronard;2357;;
Grougis;2358;20440;
Grugies;2359;22150;
Villeneuve-sur-Aisne;2360;23040;0.23
Guise;2361;17320;0.265
Guivry;2362;23070;
Guny;2363;21020;
Guyencourt;2364;25500;
Hannapes;2366;19940;
Happencourt;2367;23430;
Haramont;2368;22430;
Harcigny;2369;18870;
Hargicourt;2370;21310;
Harly;2371;21470;
Hartennes-et-Taux;2372;22960;
Hary;2373;23070;
Lehaucourt;2374;19980;
Hautevesnes;2375;24030;
Hauteville;2376;23470;
Haution;2377;19340;
La Hérie;2378;20120;
Le Hérie-la-Viéville;2379;19680;
Hinacourt;2380;;
Hirson;2381;16460;0.26
Holnon;2382;23890;
Homblières;2383;25090;
Houry;2384;;
Housset;2385;19820;
Iron;2386;19670;
Itancourt;2387;24980;
Iviers;2388;19850;
Jaulgonne;2389;22640;
Jeancourt;2390;22430;
Jeantes;2391;20940;
Joncourt;2392;23280;
Jouaignes;2393;22980;
Jumencourt;2395;22350;
Jumigny;2396;;
Jussy;2397;21880;
Juvigny;2398;22680;
Juvincourt-et-Damary;2399;23300;
Laffaux;2400;20710;
Laigny;2401;22620;
Lanchy;2402;;
Landifay-et-Bertaignemont;2403;18960;
Landouzy-la-Cour;2404;22660;
Landouzy-la-Ville;2405;21980;
Landricourt;2406;24000;
Laniscourt;2407;24570;
Laon;2408;18000;0.291
Lappion;2409;21020;
Largny-sur-Automne;2410;27080;
Latilly;2411;23690;
Launoy;2412;;
Laval-en-Laonnois;2413;25020;
Lavaqueresse;2414;20140;
Laversine;2415;25870;
Lemé;2416;19550;
Lempire;2417;21140;
Lerzy;2418;21980;
Leschelle;2419;24190;
Lesdins;2420;25460;
Lesges;2421;;
Lesquielles-Saint-Germain;2422;19450;
Leuilly-sous-Coucy;2423;23010;
Leury;2424;24490;
Leuze;2425;20640;
Levergies;2426;22780;
Lhuys;2427;20630;
Licy-Clignon;2428;;
Lierval;2429;24400;
