name;tag;dob;pob;dept_ob;dep_num;region;lat;lon;confidence;id
Robert Szigeti;depute;1905;Paris 10;Paris;75;Île-de-France;48.87582778930664;2.360285758972168;0.473;6931
Alain Chastagnol;depute;1945;Paris 20;Paris;75;Île-de-France;48.863311767578125;2.3996946811676025;0.473;1697
Martin Malvy;depute;1936;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;4941
Edouard Schloesing;depute;1916;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;6341
Jacques Raphaël-Leygues;depute;1913;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;6602
Henri Trémolet de Villers;depute;1912;Paris 5;Paris;75;Île-de-France;48.8465576171875;2.3515963554382324;0.473;7145
Hervé de Charette;depute;1938;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1656
Philippe Rivain;depute;1912;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;6795
Pierre Hénault;depute;1892;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;3791
Jean-Claude Thomas;depute;1950;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;7048
René Charpentier;depute;1909;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1679
Robert, Albert, Gaston Buron;depute;1910;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;1320
Jean-Paul Durieux;depute;1929;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;2773
Jean-Jacques Servan-Schreiber;depute;1924;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;6807
André, Emmanuel Beauguitte;depute;1901;Paris 3;Paris;75;Île-de-France;48.863365173339844;2.358234405517578;0.473;532
Jimmy Pahun;depute;1962;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19309
Christian, Charles, Auguste Bonnet;depute;1921;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;948
Yves du Halgouët;depute;1910;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;3732
Maurice Bardet;depute;1903;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.473;398
Jacques Huyghues des Étages;depute;1923;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;3917
Daniel Benoist;depute;1908;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;630
Aurélien Le Coq;depute;1996;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19959
David Guiraud;depute;1992;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.459;19671
Jean-Louis Borloo;depute;1951;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;980
Martine Aubry;depute;1950;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;242
Brigitte Douay;depute;1947;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;2565
Jacques Vernier;depute;1944;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;7416
Jacques Legendre;depute;1941;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;7710
Maurice Schumann;depute;1911;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;6359
Pascal Bois;depute;1959;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;19045
Béatrice Marre;depute;1952;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;5023
Dominique Le Sourd;depute;1950;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;18565
Michel Françaix;depute;1943;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;3117
Jean, Constant Legendre;depute;1906;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.473;7709
Marcel Dassault;depute;1892;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;2147
Sylvia Bassot;depute;1940;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;467
Hubert Bassot;depute;1932;Paris 7;Paris;75;Île-de-France;48.857215881347656;2.3098840713500977;0.473;466
Francis Geng;depute;1931;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;3339
Pierre Noal;depute;1914;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;5559
Emile Janvier;depute;1900;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;3996
Céline Hervieu;depute;1993;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.459;19946
David Amiel;depute;1992;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19558
Sarah Legrain;depute;1985;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.459;19706
Benjamin Haddad;depute;1985;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19674
Mounir Mahjoubi;depute;1984;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.459;19260
Stanislas Guerini;depute;1982;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19184
Clément Beaune;depute;1981;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19572
Julien Bayou;depute;1980;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19571
Olivia Grégoire;depute;1978;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19180
Pascal Cherki;depute;1966;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.459;18389
Emmanuelle Hoffman;depute;1964;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.459;20023
Véronique Carrion-Bastok;depute;1963;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1469
Laurent Dominati;depute;1960;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;2541
Jean-François Lamour;depute;1956;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;17336
Jean-Marie Le Guen;depute;1953;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;7589
