name;tag;dob;pob
Thierry Carcenac;senat;1950;Lescure-d'Albigeois
Stéphane Cardenes;senat;1971;Narbonne
Rémi Cardon;senat;1994;Amiens
Marie-Hélène Cardot;senat;1899;Tétaigne
Jean-Noël Cardoux;senat;1946;Paris
Jean-Claude Carle;senat;1948;Chambéry
Marie-Arlette Carlotti;senat;1952;Béziers
Paul Caron;senat;1921;Not found
Pierre Carous;senat;1913;Vieux-Condé
Jean-Louis Carrère;senat;1944;Orthez
Maryse Carrère;senat;1967;Estaing
Marie-Claire Carrère-Gée;senat;1963;Pau
Maurice Carrier;senat;1900;Béja
Ernest Cartigny;senat;1923;Lourches et mort le 9
Françoise Cartron;senat;1949;Bordeaux
Luc Carvounas;senat;1971;Charenton-le-Pont
Robert Castaing;senat;1930;Lectoure
Joseph Castelli;senat;1948;Penta-di-Casinca
Marc Castex;senat;1914;Marambat
Charles Cathala;senat;1914;Graulhet
Jean Cauchon;senat;1913;Verneuil-sur-Avre
Joseph Caupert;senat;1923;Mende
Marcel Cavaillé;senat;1927;Lisle-sur-Tarn
Francis Cavalier-Benezet;senat;1922;Not found
Caroline Cayeux;senat;1948;Paris 16
Raymond Cayrel;senat;1921;Trélans
Alain Cazabonne;senat;1944;Bordeaux
Auguste Cazalet;senat;1938;Sévignacq-Meyracq
Bernard Cazeau;senat;1939;Bordeaux
Samantha Cazebonne;senat;1971;La Rochelle
Pierre Ceccaldi-Pavard;senat;1921;Meaux
Charles Ceccaldi-Raynaud;senat;1925;Bastia
Monique Cerisier-ben Guiga;senat;1942;Not found
Gérard César;senat;1934;Caudéran
Ahmed Chabaraka;senat;1910;Not found
Gilbert Chabroux;senat;1933;Berneuil
Christophe Chaillou;senat;1964;Orléans
Anne Chain-Larché;senat;1958;Paris
Patrick Chaize;senat;1963;Saint-Symphorien-d'Ozon
Jean Chamant;senat;1913;Chagny
Léon Chambaretaud;senat;1904;Lyon 5
Jean-Paul Chambriard;senat;1929;Brioude
Marcel Champeix;senat;1902;Masseret
Michel Champleboux;senat;1901;Volvic
Yan Chantrel;senat;1979;Épinay-sur-Seine
Michel Charasse;senat;1941;Chamalières
Marcel Charmant;senat;1944;Ébreuil
Pierre Charon;senat;1951;Paris 15
Maurice Charpentier;senat;1908;Parthenay
Maurice Charretier;senat;1926;Saint-Geniès-de-Comolas
Michel Charzat;senat;1942;Paris 20
Daniel Chasseing;senat;1945;Le Lonzac
Yves Chastan;senat;1948;Dieulefit
Fernand Chatelain;senat;1920;Issou
Alain Chatillon;senat;1943;Revel
Christophe Chaudun;senat;1969;Unknown
Jacques Chaumont;senat;1934;Le Mans
Michel Chauty;senat;1924;Cholet
Jean-Pierre Chauveau;senat;1942;Unknown
Patrick Chauvet;senat;1958;Unknown
Adolphe Chauvin;senat;1911;Cerisy-la-Salle
Marie-Christine Chauvin;senat;1954;Unknown
Albert Chavanac;senat;1909;Saint-Hilaire-Saint-Florent
André Chazalon;senat;1924;Lorette
René Chazelle;senat;1917;Lyon
Jean Chérioux;senat;1928;Paris 16
Lionel Cherrier;senat;1929;Nakéty
William Chervy;senat;1937;Saint-Priest-la-Plaine
Cédric Chevalier;senat;1973;Unknown
Robert Chevalier;senat;1899;Not found
Paul Chevallier;senat;1899;Not found
